codigo;producto;picking;reposicion
12342G;GORRA CAP EVERLAST 12342 GRIS;;
12342A;GORRA CAP EVERLAST 12342 AZUL;;
12348GR;GORRA CAP EVERLAST 12348 GRIS CON ROJO;;
12348NA;GORRA CAP EVERLAST 12348 NEGRO CON AZUL;;
12344AS;GORRA CAP EVERLAST 12344 AZUL CON SUELA;;
12344NG;GORRA CAP EVERLAST 12344 NEGRO CON GRIS;;
12356A;GORRA CAP EVERLAST 12356 AZUL;;
12356N;GORRA CAP EVERLAST 12356 NEGRO;;
12354N;GORRA EVERLAST 12354 NEGRO;;
12354S;GORRA EVERLAST 12354 SUELA;;
11864P;GORRA TRENDY 11864 PLATA;;
11864R;GORRA TRENDY 11864 ROSA;;
12345NA;GORRA CAP EVERLAST 12345 NEGRO CON AZUL;;
12345NV;GORRA CAP EVERLAST 12345 NARANJA CON VERDE;;
11860RG;GORRA CAP TRENDY 11860 ROSA CON GRIS;;
11860NF;GORRA CAP TRENDY 11860 NEGRO CON FUCSIA;;
11866F;GORRA CAP TRENDY 11866 FUCSIA;;
11866B;GORRA CAP TRENDY 11866 BLANCO;;
12352A;GORRA CAP EVERLAST 12352 AZUL;;
12352N;GORRA CAP EVERLAST 12352 NEGRO;;
12355AN;GORRA CAP EVERLAST 12355 AZUL CON NEGRO;;
12355RB;GORRA CAP EVERLAST 12355 ROJO CON BEIGE;;
11861FR;GORRA CAP GATICO TRENDY 11861 FUCSIA CON ROSA;;
11861RP;GORRA CAP GATICO TRENDY 11861 ROSA CON PLATA;;
12358N;GORRA CAP EVERLAST 12358 NEGRO;;
12359NA;GORRA CAP EVERLAST 12359 NEGRO CON AZUL;;
12359NG;GORRA CAP EVERLAST 12359 NEGRO CON GRIS;;
12347G;GORRA CAP EVERLAST 12347 GRIS;;
12347A;GORRA CAP EVERLAST 12347 AZUL;;
20913NN;SOBRE TRENDY 20913 NEGRO CON NEGRO;;
20913NF;SOBRE TRENDY 20913 NEGRO CON FUCSIA;;
20914R;MORRAL TRENDY 20914 ROSA;;
20914N;MORRAL TRENDY 20914 NEGRO;;
20917N;MORRAL TRENDY 20917 NEGRO;;
20917S;MORRAL TRENDY 20917 SUELA;;
20920;MORRAL TRENDY 20920;;
20922N;RIÑONERA TRENDY 20922 NEGRO;;
20922F;RIÑONERA TRENDY 20922 FUCSIA;;
20922R;RIÑONERA TRENDY 20922 ROSA;;
20939N;MORRAL RIÑONERA TRENDY 20939 NEGRO;;
20939P;MORRAL RIÑONERA TRENDY 20939 PLATA;;
18789S;CARTERA 18789 SKYBLUE;;
18789B;CARTERA 18789 BEIGE;;
18789N;CARTERA 18789 NEGRO;;
17959;MORRAL MISS UNIQUE 17959 NEGRO UNICO COLOR;;
11916;YOGA MATT 11916;;
11913B;YOGA MATT 11913B;;
11651;ORGANIZADOR TRENDY 11651;;
11659;ORGANIZADOR TRENDY 11659;;
11658;ORGANIZADOR TRENDY 11658;;
11652;ORGANIZADOR TRENDY 11652;;
11654;ORGANIZADOR TRENDY 11654;;
11655;ORGANIZADOR TRENDY 11655;;
11653;ORGANIZADOR TRENDY 11653;;
11650;ORGANIZADOR TRENDY 11650;;
11569N;ALMOHADA PARA VIAJE LAS OREIRO 11569 NEGRO;;
11569F;ALMOHADA PARA VIAJE LAS OREIRO 11569 FUCSIA;;
11599F;RIÑONERA DEPORTIVA EVERLAST 11599 FUCSIA;;
11599R;RIÑONERA DEPORTIVA EVERLAST 11599 ROJO;;
11599A;RIÑONERA DEPORTIVA EVERLAST 11599 AZUL;;
11599N;RIÑONERA DEPORTIVA EVERLAST 11599 NEGRO;;
11506N;MORRAL PU TRENDY 11506 NEGRO;;
11506K;MORRAL PU TRENDY 11506 KAKI;;
11287;GIMNASIO INFANTIL 11287;;
11280;GIMNASIO INFANTIL 11280;;
11285;PELOTERO INFANTIL 11285;;
11574;CUBRE VALIJAS LAS OREIRO 28KG 11574;;
12379;SET DE BANDAS ELASTICAS 12379;;
11370;BANDA ELASTICAS 11370;;
11371;BANDA ELASTICAS 11371;;
11372;BANDA ELASTICAS 11372;;
12378;BANDA ELASTICAS 12378;;
12377;BANDA ELASTICAS 12377;;
12388;SOGA DE SALTAR 12388;;
4629923;TENDER EN ESPIRAL  4629923;;
26770;MESA PLEGABLE CUADRADA 60*60 26770;;
26771;MESA PLEGABLE CUADRADA 70*70 26771;;
26772;MESA PLEGABLE CUADRADA 80*80 26772;;
26773;MESA PLEGABLE REDONDA DIÁMETRO 60CM 26773;;
26774;MESA PLEGABLE REDONDA DIÁMETRO 70CM 26774;;
26775;SILLA PLEGABLE 26775;;
6164N;PARAGUAS WPC 6164 NEGRO;61;
6164A;PARAGUAS WPC 6164 AZUL;61;
6164G;PARAGUAS WPC 6164 NEGRO ;61;
6168N;PARAGUAS BOSSI 6168;61;
6215R;PARAGUA LAS OREIRO 6215 ROSA;61;
6215A;PARAGUA LAS OREIRO 6215 AQUA;61;
6215N;PARAGUA LAS OREIRO 6215;61;
6212N;PARAGUA LAS OREIRO 6212 NEGRO;61;
6212R;PARAGUA LAS OREIRO 6212 ROJO;61;
6212A;PARAGUA LAS OREIRO 6212 AQUA;61;
6216R;PARAGUA LAS OREIRO 6216 ROJO;61;
6201N;PARAGUAS WPC 6201 NEGRO;61;
6201A;PARAGUAS WPC 6201 AZUL;61;
6201G;PARAGUAS WPC 6201 GRIS;61;
6211R;PARAGUA LAS OREIRO 6211 ROJO;61;
6183C;PARAGUAS PIERRE CARDIN 6183 CREMA;61;
6183R;PARAGUAS PIERRE CARDIN 6183 ROSA;61;
6183N;PARAGUAS PIERRE CARDIN 6183 NEGRO;61;
6214A;PARAGUA LAS OREIRO 6214 AQUA;61;
6024B;PARAGUAS MIS UNIQUE 6024 BORDO;61;
6024N;PARAGUAS MIS UNIQUE 6024 NEGRO;61;
6024A;PARAGUAS MIS UNIQUE 6024 AZUL;61;
6053AQ;PARAGUAS TRENDY 6053 AQUA;61;
6053A;PARAGUAS TRENDY 6053 AZUL;61;
6053R;PARAGUAS TRENDY 6053 ROJO;61;
6053C;PARAGUAS TRENDY 6053 CREMA;61;
6184RJ;PARAGUAS PIERRE CARDIN 6184 ROJO;61;
6063F;PARAGUAS TRENDY 6063 FUCCIA;61;
6063A;PARAGUAS TRENDY 6063 AZUL;61;
6063AG;PARAGUAS TRENDY 6063 AGUA;61;
6063NJ;PARAGUAS TRENDY 6063 NARANJA;61;
6063L;PARAGUAS TRENDY 6063 LILA;61;
6183A;PARAGUA PIERRE CARDIN 6183 AZUL;61;
6183B;PARAGUA PIERRE CARDIN 6183 BORDO;61;
6214R;PARAGUA LAS OREIRO 6214 ROSA;61;
6214N;PARAGUA LAS OREIRO 6214 NEGRO;61;
6165GN;PARAGUAS BASTON WPC 6165 CUADROS GRIS CON NEGRO;61;
6165NA;PARAGUAS BASTON WPC 6165 PUNTOS NEGRO CON AZUL;61;
6165AA;PARAGUAS BASTON WPC 6165 RAYAS AZUL CON AZUL;61;
6165NG;PARAGUAS BASTON WPC 6165 PUNTOS NEGRO CON GRIS;61;
6165MA;PARAGUAS BASTON WPC 6165 RAYAS MARRON CON AZUL;61;
6165AN;PARAGUAS BASTON WPC 6165 CUADROS NEGROS CON AZUL;61;
2887S;BILLETERA FICHERO 2887 SUELA;;
2887C;BILLETERA FICHERO 2887 CREMA;;
2887R;BILLETERA FICHERO 2887 ROJO;;
2887A;BILLETERA FICHERO 2887 AZUL;;
2887N;BILLETERA FICHERO 2887 NEGRO;;
17693S;BILLETERA FICHERO 17693 SUELA;;
17693G;BILLETERA FICHERO 17693 GRIS;;
17693K;BILLETERA FICHERO 17693 KAKY;;
17693N;BILLETERA FICHERO 17693 NEGRO;;
19480N;BILLETERA FICHERO 19480 NEGRO JEAN CARTIER;;
19480B;BILLETERA FICHERO 19480 BONE JEAN CARTIER;;
19480R;BILLETERA FICHERO 19480 ROJO JEAN CARTIER;;
7690N;BILLETERA FICHERO 7690 NEGRO;;
7690RS;BILLETERA FICHERO 7690 ROSA;;
7690G;BILLETERA FICHERO 7690 GRIS;;
7690RJ;BILLETERA FICHERO 7690 ROJO;;
9004N;BILLETERA FICHERO 9004 NEGRO;;
9004M;BILLETERA FICHERO 9004 MARRON;;
9006N;BILLETERA FICHERO 9006 NEGRO;;
9006M;BILLETERA FICHERO 9006 MARRON;;
9827M;BILLETERA FICHERO 9827 MARRON;;
9827A;BILLETERA FICHERO 9827 AZUL;;
9827N;BILLETERA FICHERO 9827 NEGRO;;
17694K;BILLETERA FICHERO 17694 KAKY;;
17694S;BILLETERA FICHERO 17694 SUELA;;
17694N;BILLETERA FICHERO 17694 NEGRO;;
3271N;BILLETERA FICHERO 3271 NEGRO;;
3271A;BILLETERA FICHERO 3271 AZUL;;
3271G;BILLETERA FICHERO 3271 GRIS;;
3271S;BILLETERA FICHERO 3271 SUELA;;
3271V;BILLETERA FICHERO 3271 VISON;;
18974N;BILLETERA FICHERO 18974 NEGRO;;
18974R;BILLETERA FICHERO 18974 ROJO;;
18974B;BILLETERA FICHERO 18974 BONE;;
18974A;BILLETERA FICHERO 18974 AZUL;;
17364M;BILLETERA FICHERO 17364 MARRON;;
17364N;BILLETERA FICHERO 17364 NEGRO;;
17364A;BILLETERA FICHERO 17364 AZUL;;
17364C;BILLETERA FICHERO 17364 CAMEL;;
17364R;BILLETERA FICHERO 17364 ROSA;;
18619C;BILLETERA FICHERO 18619 CREMA;;
18619S;BILLETERA FICHERO 18619 SUELA;;
18619N;BILLETERA FICHERO 18619 NEGRO;;
18619A;BILLETERA FICHERO 18619 AZUL;;
18619R;BILLETERA FICHERO 18619 ROJO;;
3278S;BILLETERA FICHERO 3278 SUELA;;
3278R;BILLETERA FICHERO 3278 ROJO;;
3278N;BILLETERA FICHERO 3278 NEGRO;;
3278A;BILLETERA FICHERO 3278 AZUL;;
3278M;BILLETERA FICHERO 3278 MARRON;;
17742N;BILLETERA FICHERO 17742 NEGRO;;
17742A;BILLETERA FICHERO 17742 AZUL;;
17742H;BILLETERA FICHERO 17742 HABANO;;
17742S;BILLETERA FICHERO 17742 SUELA;;
17742W;BILLETERA FICHERO 17742 WINE (VINO);;
17743N;BILLETERA FICHERO 17743 NEGRO;;
17743A;BILLETERA FICHERO 17743 AZUL;;
17743H;BILLETERA FICHERO 17743 HABANO;;
17743S;BILLETERA FICHERO 17743 SUELA;;
17743W;BILLETERA FICHERO 17743 WINE (VINO);;
18636N;BILLETERA FICHERO 18636 NEGRO;;
18636B;BILLETERA FICHERO 18636 BONE;;
18636R;BILLETERA FICHERO 18636 ROSA;;
9008M;BILLETERA FICHERO 9008 MARRON;;
9008N;BILLETERA FICHERO 9008 NEGRO;;
3283CE;BILLETERA FICHERO 3283 CELESTE INA MURAKAMI;;
3283R;BILLETERA FICHERO 3283 ROSA INA MURAKAMI;;
3283C;BILLETERA FICHERO 3283 CREMA INA MURAKAMI;;
3283K;BILLETERA FICHERO 3283 KAKY INA MURAKAMI;;
